"Date","Price","Open","High","Low","Change %"
"Nov 17, 2019","108.66","108.83","109.08","108.28","-0.08%"
"Nov 10, 2019","108.75","109.20","109.31","108.25","-0.48%"
"Nov 03, 2019","109.28","108.19","109.50","108.17","1.01%"
"Oct 27, 2019","108.19","108.67","109.30","107.89","-0.43%"
"Oct 20, 2019","108.66","108.48","108.79","108.25","0.21%"
"Oct 13, 2019","108.43","108.35","108.94","108.03","0.01%"
"Oct 06, 2019","108.42","106.97","108.62","106.56","1.38%"
"Sep 29, 2019","106.94","107.92","108.47","106.48","-0.93%"
"Sep 22, 2019","107.94","107.53","108.19","106.97","0.35%"
"Sep 15, 2019","107.56","107.67","108.48","107.48","-0.48%"
"Sep 08, 2019","108.08","106.83","108.28","106.77","1.08%"
"Sep 01, 2019","106.92","106.25","107.23","105.73","0.57%"
"Aug 25, 2019","106.31","105.14","106.69","104.45","0.85%"
"Aug 18, 2019","105.41","106.34","106.75","105.27","-0.91%"
"Aug 11, 2019","106.38","105.58","106.98","105.05","0.67%"
"Aug 04, 2019","105.67","106.59","107.08","105.27","-0.86%"
"Jul 28, 2019","106.59","108.69","109.33","106.50","-1.91%"
"Jul 21, 2019","108.67","107.80","108.83","107.70","0.88%"
"Jul 14, 2019","107.72","107.88","108.39","107.22","-0.18%"
"Jul 07, 2019","107.91","108.44","109.00","107.80","-0.52%"
"Jun 30, 2019","108.47","108.11","108.64","107.53","0.54%"
"Jun 23, 2019","107.89","107.41","108.17","106.78","0.54%"
"Jun 16, 2019","107.31","108.45","108.73","107.06","-1.15%"
"Jun 09, 2019","108.56","108.56","108.81","108.16","0.34%"
"Jun 02, 2019","108.19","108.38","108.62","107.81","-0.08%"
"May 26, 2019","108.28","109.31","109.94","108.28","-0.94%"
"May 19, 2019","109.31","110.14","110.69","109.28","-0.70%"
"May 12, 2019","110.08","109.77","110.19","109.03","0.13%"
"May 05, 2019","109.94","110.61","110.98","109.47","-1.05%"
"Apr 28, 2019","111.11","111.61","111.91","111.05","-0.43%"
"Apr 21, 2019","111.59","111.94","112.41","111.39","-0.29%"
"Apr 14, 2019","111.92","112.01","112.17","111.76","-0.10%"
"Apr 07, 2019","112.03","111.72","112.09","110.83","0.27%"
"Mar 31, 2019","111.73","110.80","111.81","110.80","0.78%"
"Mar 24, 2019","110.86","109.86","110.95","109.72","0.86%"
"Mar 17, 2019","109.92","111.47","111.69","109.75","-1.39%"
"Mar 10, 2019","111.47","111.14","111.91","110.88","0.27%"
"Mar 03, 2019","111.17","111.78","112.14","110.78","-0.67%"
"Feb 24, 2019","111.92","110.67","112.08","110.36","1.11%"
"Feb 17, 2019","110.69","110.44","110.95","110.39","0.17%"
"Feb 10, 2019","110.50","109.83","111.14","109.69","0.70%"
"Feb 03, 2019","109.73","109.50","110.17","109.44","0.21%"
"Jan 27, 2019","109.50","109.53","109.75","108.50","-0.05%"
"Jan 20, 2019","109.55","109.75","110.00","109.14","-0.21%"
"Jan 13, 2019","109.78","108.47","109.89","107.98","1.13%"
"Jan 06, 2019","108.55","108.54","109.09","107.77","0.02%"
"Dec 30, 2018","108.53","110.43","110.48","104.97","-1.59%"
"Dec 23, 2018","110.28","110.94","111.42","110.00","-0.85%"
"Dec 16, 2018","111.22","113.33","113.53","110.81","-1.91%"
