"Date","Price","Open","High","Low","Change %"
"Apr 08, 2018","1.2331","1.2279","1.2397","1.2261","0.39%"
"Apr 01, 2018","1.2283","1.2323","1.2346","1.2214","-0.32%"
"Mar 25, 2018","1.2323","1.2349","1.2477","1.2283","-0.24%"
"Mar 18, 2018","1.2353","1.2284","1.2390","1.2239","0.52%"
"Mar 11, 2018","1.2289","1.2311","1.2414","1.2261","-0.15%"
"Mar 04, 2018","1.2307","1.2324","1.2448","1.2269","-0.08%"
"Feb 25, 2018","1.2317","1.2297","1.2354","1.2153","0.20%"
"Feb 18, 2018","1.2293","1.2409","1.2435","1.2259","-0.91%"
"Feb 11, 2018","1.2406","1.2254","1.2557","1.2235","1.40%"
"Feb 04, 2018","1.2235","1.2457","1.2477","1.2206","-1.82%"
"Jan 28, 2018","1.2462","1.2427","1.2524","1.2334","0.33%"
"Jan 21, 2018","1.2421","1.2268","1.2538","1.2214","1.63%"
"Jan 14, 2018","1.2222","1.2197","1.2324","1.2165","0.29%"
"Jan 07, 2018","1.2187","1.2029","1.2190","1.1916","1.31%"
"Dec 31, 2017","1.2030","1.2003","1.2091","1.1995","0.27%"
"Dec 24, 2017","1.1998","1.1851","1.2030","1.1843","1.17%"
"Dec 17, 2017","1.1859","1.1755","1.1903","1.1738","0.89%"
"Dec 10, 2017","1.1754","1.1769","1.1864","1.1718","-0.08%"
"Dec 03, 2017","1.1764","1.1881","1.1888","1.1728","-1.07%"
"Nov 26, 2017","1.1891","1.1933","1.1962","1.1809","-0.33%"
"Nov 19, 2017","1.1930","1.1789","1.1945","1.1712","1.14%"
"Nov 12, 2017","1.1795","1.1666","1.1862","1.1638","1.11%"
"Nov 05, 2017","1.1665","1.1610","1.1680","1.1554","0.48%"
"Oct 29, 2017","1.1609","1.1603","1.1692","1.1594","-0.01%"
"Oct 22, 2017","1.1610","1.1773","1.1838","1.1575","-1.48%"
"Oct 15, 2017","1.1785","1.1826","1.1860","1.1731","-0.32%"
"Oct 08, 2017","1.1823","1.1728","1.1881","1.1717","0.76%"
"Oct 01, 2017","1.1734","1.1817","1.1817","1.1668","-0.68%"
"Sep 24, 2017","1.1814","1.1953","1.1962","1.1717","-1.17%"
"Sep 17, 2017","1.1954","1.1949","1.2033","1.1862","0.09%"
"Sep 10, 2017","1.1943","1.2041","1.2041","1.1838","-0.76%"
"Sep 03, 2017","1.2035","1.1859","1.2094","1.1854","1.48%"
"Aug 27, 2017","1.1859","1.1926","1.2071","1.1823","-0.56%"
"Aug 20, 2017","1.1926","1.1750","1.1942","1.1731","1.39%"
"Aug 13, 2017","1.1762","1.1806","1.1840","1.1663","-0.50%"
"Aug 06, 2017","1.1821","1.1766","1.1846","1.1687","0.42%"
"Jul 30, 2017","1.1772","1.1739","1.1913","1.1725","0.17%"
"Jul 23, 2017","1.1752","1.1660","1.1778","1.1613","0.76%"
"Jul 16, 2017","1.1663","1.1464","1.1684","1.1435","1.69%"
"Jul 09, 2017","1.1469","1.1392","1.1491","1.1371","0.60%"
"Jul 02, 2017","1.1401","1.1419","1.1440","1.1312","-0.22%"
"Jun 25, 2017","1.1426","1.1202","1.1448","1.1173","2.07%"
"Jun 18, 2017","1.1194","1.1200","1.1215","1.1119","-0.04%"
"Jun 11, 2017","1.1198","1.1194","1.1296","1.1131","0.02%"
"Jun 04, 2017","1.1196","1.1280","1.1286","1.1168","-0.76%"
"May 28, 2017","1.1282","1.1179","1.1287","1.1110","0.89%"
"May 21, 2017","1.1183","1.1201","1.1268","1.1159","-0.21%"
"May 14, 2017","1.1207","1.0927","1.1214","1.0923","2.52%"
"May 07, 2017","1.0931","1.0999","1.1025","1.0841","-0.61%"
"Apr 30, 2017","1.0998","1.0908","1.1002","1.0876","0.93%"
"Apr 23, 2017","1.0897","1.0891","1.0952","1.0821","1.58%"
"Apr 16, 2017","1.0728","1.0614","1.0779","1.0602","1.09%"
"Apr 09, 2017","1.0612","1.0593","1.0679","1.0571","0.21%"
"Apr 02, 2017","1.0590","1.0660","1.0691","1.0580","-0.58%"
"Mar 26, 2017","1.0652","1.0799","1.0907","1.0652","-1.36%"
"Mar 19, 2017","1.0799","1.0740","1.0827","1.0719","0.57%"
"Mar 12, 2017","1.0738","1.0673","1.0784","1.0599","0.62%"
"Mar 05, 2017","1.0672","1.0617","1.0702","1.0526","0.46%"
"Feb 26, 2017","1.0623","1.0563","1.0633","1.0495","0.57%"
"Feb 19, 2017","1.0563","1.0617","1.0636","1.0495","-0.48%"
"Feb 12, 2017","1.0614","1.0635","1.0683","1.0523","-0.25%"
"Feb 05, 2017","1.0641","1.0783","1.0803","1.0609","-1.33%"
"Jan 29, 2017","1.0784","1.0692","1.0831","1.0620","0.79%"
"Jan 22, 2017","1.0699","1.0688","1.0779","1.0660","-0.04%"
"Jan 15, 2017","1.0703","1.0619","1.0722","1.0581","0.55%"
"Jan 08, 2017","1.0644","1.0540","1.0687","1.0455","1.05%"
"Jan 01, 2017","1.0533","1.0532","1.0624","1.0342","0.16%"
"Dec 25, 2016","1.0516","1.0454","1.0654","1.0372","0.57%"
"Dec 18, 2016","1.0456","1.0445","1.0501","1.0353","0.05%"
"Dec 11, 2016","1.0451","1.0554","1.0673","1.0368","-1.05%"
"Dec 04, 2016","1.0562","1.0675","1.0875","1.0506","-1.04%"
"Nov 27, 2016","1.0673","1.0596","1.0692","1.0554","0.81%"
"Nov 20, 2016","1.0587","1.0584","1.0661","1.0518","-0.01%"
"Nov 13, 2016","1.0588","1.0850","1.0852","1.0570","-2.47%"
"Nov 06, 2016","1.0856","1.1140","1.1305","1.0833","-2.53%"
"Oct 30, 2016","1.1138","1.0987","1.1146","1.0937","1.37%"
"Oct 23, 2016","1.0987","1.0880","1.0995","1.0852","0.95%"
"Oct 16, 2016","1.0884","1.0974","1.1041","1.0859","-0.79%"
"Oct 09, 2016","1.0971","1.1197","1.1203","1.0968","-2.05%"
"Oct 02, 2016","1.1201","1.1235","1.1245","1.1103","-0.36%"
"Sep 25, 2016","1.1241","1.1224","1.1281","1.1153","0.13%"
"Sep 18, 2016","1.1226","1.1164","1.1261","1.1123","0.64%"
"Sep 11, 2016","1.1155","1.1232","1.1285","1.1147","-0.69%"
"Sep 04, 2016","1.1233","1.1153","1.1329","1.1140","0.69%"
"Aug 28, 2016","1.1156","1.1194","1.1254","1.1124","-0.38%"
"Aug 21, 2016","1.1198","1.1305","1.1357","1.1180","-1.13%"
"Aug 14, 2016","1.1326","1.1162","1.1366","1.1153","1.48%"
"Aug 07, 2016","1.1161","1.1088","1.1224","1.1070","0.69%"
"Jul 31, 2016","1.1085","1.1174","1.1234","1.1043","-0.80%"
"Jul 24, 2016","1.1174","1.0972","1.1200","1.0954","1.80%"
