"Date","Price","Open","High","Low","Change %"
"Apr 28, 2015","130.54","129.65","130.71","129.31","0.71%"
"Apr 27, 2015","129.62","129.34","130.03","128.96","0.19%"
"Apr 24, 2015","129.38","129.40","130.15","128.78","-0.07%"
"Apr 23, 2015","129.47","128.58","129.73","127.82","0.66%"
"Apr 22, 2015","128.62","128.42","128.97","128.14","0.12%"
"Apr 21, 2015","128.47","127.95","128.81","127.40","0.36%"
"Apr 20, 2015","128.01","128.65","128.86","127.56","-0.39%"
"Apr 17, 2015","128.51","128.03","128.77","127.73","0.34%"
"Apr 16, 2015","128.07","127.27","128.61","126.69","0.58%"
"Apr 15, 2015","127.33","127.17","127.51","126.22","0.11%"
"Apr 14, 2015","127.19","126.89","127.67","126.05","0.18%"
"Apr 13, 2015","126.96","127.41","127.88","126.51","-0.42%"
"Apr 10, 2015","127.49","128.50","128.81","127.15","-0.82%"
"Apr 09, 2015","128.54","129.49","129.80","128.19","-0.76%"
"Apr 08, 2015","129.52","130.04","130.39","129.34","-0.42%"
"Apr 07, 2015","130.07","130.50","131.06","129.93","-0.38%"
"Apr 06, 2015","130.57","130.71","131.32","130.40","-0.03%"
"Apr 03, 2015","130.61","130.25","131.63","129.96","0.24%"
"Apr 02, 2015","130.30","128.87","130.52","128.56","1.07%"
"Apr 01, 2015","128.92","128.87","129.50","128.36","0.01%"
"Mar 31, 2015","128.91","130.05","130.28","128.57","-0.90%"
"Mar 30, 2015","130.08","129.66","130.22","129.25","0.28%"
"Mar 27, 2015","129.72","129.70","130.45","128.96","-0.02%"
"Mar 26, 2015","129.74","131.05","131.16","129.49","-1.04%"
"Mar 25, 2015","131.11","130.80","131.46","130.54","0.20%"
"Mar 24, 2015","130.85","131.04","131.54","130.30","-0.16%"
"Mar 23, 2015","131.06","130.06","131.37","129.24","0.89%"
"Mar 20, 2015","129.90","128.74","130.72","128.59","0.87%"
"Mar 19, 2015","128.78","130.48","130.79","128.33","-1.33%"
"Mar 18, 2015","130.51","128.59","131.54","128.22","1.47%"
"Mar 17, 2015","128.62","128.19","129.17","128.04","0.30%"
"Mar 16, 2015","128.24","127.35","128.82","126.93","0.66%"
"Mar 13, 2015","127.40","128.98","129.08","126.85","-1.25%"
