"Date","Price","Open","High","Low","Change %"
"Nov 22, 2011","2.0921","2.0940","2.1023","2.0810","-0.06%"
"Nov 21, 2011","2.0933","2.0879","2.0994","2.0736","0.21%"
"Nov 18, 2011","2.0890","2.0741","2.0905","2.0672","0.56%"
"Nov 17, 2011","2.0773","2.0535","2.0822","2.0425","1.08%"
"Nov 16, 2011","2.0551","2.0501","2.0659","2.0430","0.23%"
"Nov 15, 2011","2.0503","2.0361","2.0692","2.0237","0.56%"
"Nov 14, 2011","2.0389","2.0298","2.0475","2.0265","-0.35%"
"Nov 11, 2011","2.0461","2.0493","2.0570","2.0400","-0.21%"
"Nov 10, 2011","2.0505","2.0366","2.0577","2.0332","0.77%"
"Nov 09, 2011","2.0349","2.0159","2.0394","2.0124","0.96%"
"Nov 08, 2011","2.0155","2.0138","2.0256","2.0105","-0.01%"
"Nov 07, 2011","2.0157","2.0139","2.0235","2.0049","-0.18%"
"Nov 04, 2011","2.0194","2.0166","2.0275","2.0084","-0.05%"
"Nov 03, 2011","2.0204","2.0247","2.0360","2.0102","0.24%"
"Nov 02, 2011","2.0156","2.0044","2.0273","2.0021","0.48%"
"Nov 01, 2011","2.0059","1.9913","2.0136","1.9800","0.54%"
"Oct 31, 2011","1.9952","1.9645","1.9974","1.9576","1.78%"
"Oct 28, 2011","1.9603","1.9573","1.9771","1.9499","0.18%"
"Oct 27, 2011","1.9567","1.9954","2.0006","1.9522","-1.88%"
"Oct 26, 2011","1.9941","2.0078","2.0157","1.9903","-0.74%"
"Oct 25, 2011","2.0089","1.9865","2.0129","1.9795","1.46%"
"Oct 24, 2011","1.9799","1.9860","1.9912","1.9718","-0.31%"
"Oct 21, 2011","1.9860","1.9904","2.0032","1.9832","-0.23%"
"Oct 20, 2011","1.9905","1.9898","1.9970","1.9731","-0.03%"
"Oct 19, 2011","1.9911","1.9739","1.9957","1.9671","0.83%"
"Oct 18, 2011","1.9748","1.9870","2.0015","1.9674","-0.71%"
"Oct 17, 2011","1.9890","1.9685","1.9915","1.9559","1.26%"
"Oct 14, 2011","1.9643","1.9835","1.9903","1.9614","-0.96%"
"Oct 13, 2011","1.9834","1.9837","1.9930","1.9725","0.15%"
"Oct 12, 2011","1.9804","1.9967","2.0091","1.9696","-0.89%"
"Oct 11, 2011","1.9982","1.9958","2.0129","1.9879","0.00%"
"Oct 10, 2011","1.9982","2.0243","2.0268","1.9929","-1.17%"
