"Date","Price","Open","High","Low","Change %"
"Nov 14, 2019","0.8989","0.9061","0.9068","0.8971","-0.76%"
"Nov 15, 2019","0.9015","0.8990","0.9028","0.8977","0.29%"
"Nov 18, 2019","0.8991","0.9015","0.9020","0.8985","-0.27%"
"Nov 19, 2019","0.9054","0.8993","0.9063","0.8965","0.70%"
"Nov 20, 2019","0.9049","0.9058","0.9072","0.9039","-0.06%"
"Nov 21, 2019","0.9013","0.9050","0.9072","0.9004","-0.40%"
"Nov 22, 2019","0.9026","0.9015","0.9031","0.9000","0.14%"
"Nov 25, 2019","0.9011","0.9027","0.9044","0.9004","-0.17%"
"Nov 26, 2019","0.9006","0.9016","0.9046","0.9003","-0.06%"
"Nov 27, 2019","0.8998","0.9010","0.9020","0.8989","-0.09%"
"Nov 28, 2019","0.8986","0.9001","0.9007","0.8979","-0.13%"
"Nov 29, 2019","0.8979","0.8992","0.9012","0.8970","-0.08%"
"Dec 02, 2019","0.9069","0.8986","0.9079","0.8971","1.00%"
"Dec 03, 2019","0.9101","0.9073","0.9121","0.9064","0.35%"
"Dec 04, 2019","0.9040","0.9103","0.9111","0.9036","-0.67%"
"Dec 05, 2019","0.9001","0.9043","0.9044","0.8976","-0.43%"
"Dec 06, 2019","0.9064","0.9001","0.9079","0.8997","0.70%"
"Dec 09, 2019","0.9030","0.9057","0.9071","0.9027","-0.38%"
"Dec 10, 2019","0.9005","0.9033","0.9047","0.9001","-0.28%"
"Dec 11, 2019","0.9054","0.9010","0.9075","0.9003","0.54%"
"Dec 12, 2019","0.9106","0.9060","0.9114","0.9044","0.57%"
"Dec 13, 2019","0.9051","0.9111","0.9145","0.9045","-0.60%"
"Dec 16, 2019","0.9052","0.9075","0.9084","0.9026","0.01%"
"Dec 17, 2019","0.9013","0.9057","0.9063","0.9000","-0.43%"
"Dec 18, 2019","0.8985","0.9017","0.9024","0.8978","-0.31%"
"Dec 19, 2019","0.9035","0.8985","0.9043","0.8978","0.56%"
"Dec 20, 2019","0.9068","0.9040","0.9100","0.9032","0.37%"
"Dec 23, 2019","0.9096","0.9066","0.9115","0.9058","0.31%"
"Dec 24, 2019","0.9110","0.9099","0.9125","0.9084","0.15%"
"Dec 25, 2019","0.9105","0.9111","0.9118","0.9096","-0.05%"
"Dec 26, 2019","0.9113","0.9112","0.9119","0.9094","0.09%"
"Dec 27, 2019","0.9123","0.9115","0.9144","0.9099","0.11%"
"Dec 30, 2019","0.9137","0.9123","0.9155","0.9112","0.15%"
"Dec 31, 2019","0.9115","0.9142","0.9153","0.9097","-0.24%"
"Jan 01, 2020","0.9112","0.9118","0.9140","0.9101","-0.03%"
"Jan 02, 2020","0.9076","0.9114","0.9115","0.9061","-0.40%"
"Jan 03, 2020","0.9029","0.9077","0.9086","0.9002","-0.52%"
"Jan 06, 2020","0.8995","0.9029","0.9036","0.8981","-0.38%"
"Jan 07, 2020","0.8930","0.8996","0.9001","0.8916","-0.72%"
"Jan 08, 2020","0.8950","0.8934","0.8967","0.8900","0.22%"
"Jan 09, 2020","0.8950","0.8953","0.8983","0.8944","0.00%"
"Jan 10, 2020","0.9006","0.8954","0.9027","0.8944","0.63%"
"Jan 13, 2020","0.9013","0.9005","0.9035","0.8985","0.08%"
"Jan 14, 2020","0.9011","0.9013","0.9030","0.8990","-0.02%"
"Jan 15, 2020","0.9001","0.9014","0.9022","0.8989","-0.11%"
"Jan 16, 2020","0.8995","0.9001","0.9040","0.8978","-0.07%"
"Jan 17, 2020","0.8977","0.8997","0.9015","0.8975","-0.20%"
"Jan 20, 2020","0.8965","0.8982","0.9002","0.8952","-0.13%"
"Jan 21, 2020","0.8943","0.8968","0.8982","0.8942","-0.25%"
"Jan 22, 2020","0.8989","0.8946","0.8999","0.8929","0.51%"
"Jan 23, 2020","0.8983","0.8991","0.9051","0.8975","-0.07%"
"Jan 24, 2020","0.8973","0.8986","0.9002","0.8957","-0.11%"
"Jan 27, 2020","0.8918","0.8968","0.8981","0.8895","-0.61%"
